heightOfBoard,widthOfBoard,numberOfMine,seed,r0,c0,summonMode,iterateMode,sTime,msTime,solved3BV,total3BV,isHelped
16,30,99,1729431516,5,3,3,-2,20,20000,33,172,0
16,30,99,1729431531,4,6,3,-2,82,82000,132,136,0
16,30,99,1729431622,5,8,3,-2,93,93000,160,160,0
16,30,99,1729431716,12,11,3,-2,104,104000,171,171,0
16,30,99,1729431824,4,9,3,-2,90,90000,166,166,0
16,30,99,1729431923,7,5,3,-2,72,72000,127,145,0
16,30,99,1729432006,8,3,3,-2,76,76000,157,157,0
16,30,99,1729432210,4,7,3,-2,88,88000,178,178,0
16,30,99,1729432304,8,6,3,-2,94,94000,183,183,0
16,30,99,1729432419,7,5,3,-2,79,79000,157,166,0
16,30,99,1729432500,8,9,3,-2,88,88000,185,185,0
16,30,99,1729432609,7,6,3,-2,26,26000,68,197,0
16,30,99,1729432654,7,3,3,-2,27,27000,45,163,0
16,30,99,1729432676,4,3,3,-2,16,16000,37,168,0
16,30,99,1729432703,8,1,3,-2,60,60000,111,163,0
16,30,99,1729432766,6,6,3,-2,85,85000,157,157,0
16,30,99,1729432904,5,4,3,-2,90,90000,170,170,0
16,30,99,1729433015,6,6,3,-2,41,41000,76,138,0
16,30,99,1729433055,4,6,3,-2,38,38000,92,193,0
16,30,99,1729433095,7,7,3,-2,40,40000,92,187,0
16,30,99,1729433129,5,7,3,-2,96,96000,165,165,0
16,30,99,1729433258,4,4,3,-2,15,15000,30,170,0
16,30,99,1729433279,7,3,3,-2,82,82000,118,138,0
16,30,99,1729433367,7,5,3,-2,79,79000,160,160,0
16,30,99,1729433484,6,5,3,-2,13,13000,39,176,0
16,30,99,1729433502,5,4,3,-2,8,8000,16,140,0
16,30,99,1729433519,6,1,3,-2,33,33000,88,189,0
16,30,99,1729433559,6,11,3,-2,93,93000,197,197,0
16,30,99,1729433653,6,4,3,-2,61,61000,105,141,0
16,30,99,1729433726,5,6,3,-2,43,43000,64,160,0
16,30,99,1729433770,6,6,3,-2,14,14000,32,161,0
16,30,99,1729433783,6,8,3,-2,72,72000,128,128,0
16,30,99,1729433906,5,5,3,-2,31,31000,82,181,0
16,30,99,1729433938,6,5,3,-2,19,19000,36,161,0
